business_id,centrality,business_name,avg_sentiment,sentiment_std,review_count,avg_rating,influence_score
onGzhRqmlmYixXljTT3QVQ,0.003998503023911787,Sobre Masa,0.97658,0.02989225652238383,5,4.6,0.00790336110700356
uSS5cbcb_KLoXE5yzwjI6w,0.003998503023911787,Gitano Island,0.95676,0.0358633935929103,5,4.4,0.00782411077706963
SWK0AQ5KTDDCt8AtOhhasg,0.00473963894289215,Malibu Farm,0.6154200000000001,0.7664337655662099,5,4.4,0.007656507541126837
AdAZ_V986tGg7RVcx-6EEw,0.0033167728844172473,Greywind,0.9665000000000001,0.026858425121365586,5,4.8,0.006522433877206517
4FD0TAxe70nb3ngk3sXF9Q,0.002829080026413113,Uluh,0.9216799999999999,0.05580194441056689,5,4.6,0.0054365865051575505
WFyGR8sW10AzbAoQ4T7Ung,0.0027559742145188346,The Paris Cafe,0.95274,0.03252372979841029,5,4.4,0.005381701087659509
9yc2V6zNpLG58uPV_ykBog,0.002666858449201693,Boqueria W40th,0.97028,0.032093021048196765,5,4.4,0.005254457865293112
cJ837cA4SILruB3ArOZiSw,0.002561228337088436,Bourbon and Branch,0.98576,0.0059298397954751,5,4.8,0.005085984782656733
nMyot99PkX5iYCdxHoRJqQ,0.002540493926574021,ARIARI,0.9661,0.04542185597264821,5,4.4,0.004994865109037182
X8yEmEDD9ZTkHoIRFqzcRw,0.002540493926574021,Osamil,0.8166800000000001,0.3444534830713721,5,4.4,0.004615264506528493
h9nuvIu8TyrQcYy8J1AOxg,0.002561228337088436,The Ellington,0.79172,0.42827424858377844,5,4.2,0.0045890040361280925
jAaVnUKLITkuhzwXIe0vLQ,0.002311484343608859,Cafe Mogador,0.92056,0.04919423746741077,5,5.0,0.00443934437096143
WjoxZN23w9rwMF-bsYDcRw,0.0021762867149023504,Battle Hill Tavern,0.9673999999999999,0.019161810979132426,5,5.0,0.004281626482898884
AyL0Q6_hFD04GLxwRxOFrA,0.0022503741615191035,Pecking House,0.87948,0.12750063529253491,5,4.4,0.004229533229091925
cCesIqo-LQt0cRlZAnrAZQ,0.0020415021603690684,Friedman's,0.9318,0.04128988980367955,5,5.0,0.003943773873400966
0GN6l4FAknTFSWZhEan45A,0.0018969147829232306,GunBae Tribeca,0.9695,0.0417038967004284,5,4.6,0.0037359736649673026
_EBQhV-UQ7NoV66uXYH0dw,0.0014426294293564024,Golden Diner,0.97194,0.02135211933275008,5,4.8,0.0028447786769250642
GTniSQ46cO6SSUN_MbnIrQ,0.0015201337474376152,Brickyard Craft Kitchen and Bar,0.78526,0.30313645937102324,5,4.8,0.002713833973950477
1aD88qNRb08LGBkl84GQTA,0.0014426294293564024,Little Collins,0.87576,0.14106627165981245,5,4.4,0.0027060265784095653
